,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,alpha-Muurolene,beta-Caryophyllene,beta-Selinene,delta-Cadinene,gamma-Cadinene,Myrcene,alpha-Humulene,Cadinene (unknown isomer),Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,Piperitone,gamma-Terpinene,Camphor,beta-Bisabolene,Geraniol,Geranyl acetate,alpha-Copaene,Citronellol,Benzyl alcohol,Nerol,Thymol,(-)-Isopulegol,Citronellal,Aromadendrene,"1,8-Cineole",p-Cymen-8-ol,cis-Sabinene hydrate,trans-Sabinene hydrate,Caryophyllene oxide,trans-Pinocarveol,Isoamyl acetate,trans-Carveol,Cuminaldehyde,Hexanal,Germacrene D,beta-Farnesene,Neryl acetate,alpha-Guaiene,gamma-Gurjunene,Perillyl acetate,Nerolidol (unknown isomer),4-Thujanol,beta-Cubebene,gamma-Elemene,delta-Elemene,(Z)-beta-Farnesene,trans-beta-Bergamotene,gamma-Muurolene,beta-Elemene,(E)-Nerolidol,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,alpha-Farnesene,Carvone,cis-Carveol,alpha-Selinene,Isopinocamphone,Perillene,Elemol,Nonanal,"trans-p-Mentha-2,8-dien-1-ol",Octanal,trans-alpha-Bergamotene,(E)-beta-Farnesene,Linalyl acetate,alpha-Cubebene,Bisabolene (unknown isomer),Limonene oxide (unknown structure),Ethanol,cis-Linalool oxide (5) (furanoid),Ethyl acetate,alpha-Bisabolol,trans-Linalool oxide (5) (furanoid),Acetaldehyde,Decanal,Undecanal,Isoborneol,Perilla aldehyde,Geranial,Farnesol (unknown isomer),Sesquiterpene alcohols (unknown),Cubebol,Neral,Linalool oxides (cis/trans) (unknown isomers),6-Methyl-5-hepten-2-one,(Z)-3-Hexenol,Citronellyl acetate,alpha-Bergamotene,Undecane,cis-Linalool oxide (unknown isomer),trans-Linalool oxide (unknown isomer),1-Hexanol,Bicyclogermacrene,1-Octanol,Methyl cinnamate,gamma-Eudesmol,3-Octanol,Decyl acetate,Nonyl acetate,1-Decanol,cis-alpha-Bergamotene,beta-Sesquiphellandrene,Farnesene (unknown isomer),"cis-Limonene-1,2-epoxide","trans-Limonene-1,2-epoxide",1-Nonanol,"alpha,p-Dimethylstyrene",1-Pentanol,2-Pentanol,"p-2,8-Menthadienol-1",Limonen-10-yl acetate,"p-Mentha-1,8(10)-dien-9-ol",Perillyl alcohol,beta-Santalene,Sesquiterpene hydrocarbons (unknown),Esters (unknown structure),Butyl acetate,Menthone,beta-Elemol,trans-Linalool oxide (6) (pyranoid),cis-Linalool oxide (6) (pyranoid),Octanoic acid,Nootkatone,Valencene,Dodecanal,Octyl acetate,Isomenthol,Piperitenone,Cedrol,beta-Gurjunene,beta-Copaene,Dihydrocarveol,Germacrene B,Germacrene A,(E)-2-Decenal,(Z)-4-Decenal,(Z)-Nerolidol,"(E,Z)-2,6-Dodecadienal",Geranyl propionate,Methyl heptenone (unknown structure),Sesquiphellandrene,Acetone,Tridecane,Tetradecane,(E)-2-Nonenal,Octadecane,Carveol (unknown isomer),Thujyl alcohol,Dihydrocarvone,"(E,E)-alpha-Farnesene",Isopulegol,(Z)-alpha-Farnesol,Sinensal (unknown isomer),Methyl N-methyl anthranilate,Heptyl acetate,alpha-Sinensal,2-Methylbutyl butyrate,alpha-Bulnesene,beta-Sinensal,(E)-2-Hexenal,Methyl thymol,Hexadecanoic acid,beta-Terpineol,Decanoic acid,Tetradecanoic acid,Dodecanoic acid,Hexyl butyrate,Neryl formate,"(E,E)-Farnesol",Ethyl butyrate,Carvyl acetate,"(E,Z)-2,4-Decadienal","(E,E)-2,4-Decadienal",Hexadecanal,Tetradecanal,Pentadecanal,Terpinen-1-ol,Tridecanal,1-Hexenol-3,3-Octyl acetate,Neodihydrocarveyl acetate,2-Decenal,2-Butanol,3-Pentanol,3-Hexenol-1,4-Methyl-2-pentanone,1-Propanol,1-Dodecanol,"(E,E)-2,4-Heptadienal",1-Heptanol,Meranzin,Osthol,alpha-7-epi-Selinenone-2,Selinenenes,Methanol,Phellandrene (unknown structure),"(Z,E)-Farnesol",1-Undecanol,cis-beta-Terpineol,Tetradecanol,beta-Ocimene,Citroptene,3-Hexenyl butyrate,"p-2,4(8)-Menthadiene",Geran-9-yl-alpha-terpineol,(E)-2-Octenal,Germacrene-D-4-ol,(E)-2-Undecenal,2-Dodecenol,Limonene dioxide,Dodecyl acetate,(E)-2-Dodecenal,(E)-2-Tridecenal,"2,4-Decadienal","gamma-Terpineol, dihydro-",trans-3-Carenol,Verbanone,2-Dodecenal,2-Methylbicyclo[3.2.1]oct-6-en-3-one,Germacrene C,(2Z)-Dodecenal,Longipinene epoxide
"Orange, sweet (Italy) 7 FMC process - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.93,0.005,0.0069,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,0.02,0.0001,0.0,0.0004,0.0,0.0001,0.0017,0.0012,0.007,0.0,0.0047,0.0004,0.0001,0.0,0.0004,0.0,0.0,0.0002,0.0002,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0004,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0006,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0037,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0001,0.0,0.0,0.001,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0005,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.004,0.0005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Italy) 8 Maltese - Citrus sinensis (L.) Osbeck, cultivar Maltese, fam. Rutaceae",0.919,0.008,0.0049,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0,0.02,0.0002,0.0,0.0004,0.0,0.0001,0.0003,0.0002,0.01,0.0008,0.0045,0.0006,0.0001,0.0,0.0002,0.0,0.0,0.0001,0.0001,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0003,0.0,0.0,0.0,0.0005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0006,0.0001,0.0002,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0009,0.0,0.0053,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0001,0.0,0.0,0.0017,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0005,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Italy) 9a blond - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.9601,0.0001,0.0052,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0001,0.0,0.0,0.0016,0.0,0.0032,0.0,0.0034,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Italy) 9b blood - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.9598,0.0001,0.0053,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0031,0.0,0.0025,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Italy) 9c blood headspace - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.9611,0.0033,0.002,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0001,0.0,0.0,0.0015,0.0,0.0025,0.0,0.0049,0.0,0.0,0.0,0.0041,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Mexico) - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.9413,0.0005,0.0059,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0011,0.0256,0.0003,0.0,0.0,0.0,0.0,0.0007,0.0,0.0058,0.0005,0.0043,0.0,0.0,0.0,0.0005,0.0,0.0,0.0001,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0001,0.0,0.0002,0.0011,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Portugal) - Citrus sinensis (L.) Osbeck, fam. Rutaceae",0.9,0.0026,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Spain) 1 - Citrus sinensis (L.) Osbeck, cultivar Valencia late, fam. Rutaceae",0.954,0.0001,0.0054,0.0,0.0001,0.0001,0.0,0.0,0.0008,0.0,0.0,0.0,0.0185,0.0002,0.0,0.0006,0.0,0.0,0.001,0.0001,0.0026,0.0003,0.0039,0.0007,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0001,0.0,0.0002,0.0004,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Spain) 2 - Citrus sinensis (L.) Osbeck, cultivar Navel, fam. Rutaceae",0.9158,0.0006,0.008,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0249,0.0001,0.0,0.0,0.0,0.0,0.0008,0.0,0.003,0.0012,0.0073,0.0,0.0,0.0,0.0006,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0001,0.0,0.0001,0.0022,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Spain) 3 - Citrus sinensis (L.) Osbeck, cultivar Sanguine, fam. Rutaceae",0.9287,0.0007,0.007,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0004,0.03,0.0004,0.0,0.0,0.0,0.0,0.0009,0.0,0.0032,0.0007,0.0061,0.0,0.0,0.0,0.0033,0.0,0.0,0.0001,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0001,0.0,0.0004,0.0014,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orange, sweet (Taiwan) - Citrus sinensis (L.) Osbeck, cultivar Tankan, fam. Rutaceae",0.9451,0.0001,0.0062,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0209,0.0005,0.0,0.0,0.0,0.0,0.0003,0.0,0.0013,0.0011,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0005,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
